id,title,releaseYear,duration,rating,directorID,actorCharacterPairs,genres,genres_tru
movie_0,Movie 0 - Toy Story (1995),2014,127,8.9,director_3,"[{'actorID': 'actor_19', 'characterID': 'char_646'}, {'actorID': 'actor_63', 'characterID': 'char_523'}, {'actorID': 'actor_56', 'characterID': 'char_583'}, {'actorID': 'actor_51', 'characterID': 'char_250'}]","[{'name': 'Drama', 'description': 'Serious, narrative-driven stories'}, {'name': 'Fantasy', 'description': 'Magical and imaginative storytelling'}, {'name': 'Musical', 'description': 'Song and dance-driven narratives'}]",Adventure|Animation|Children|Comedy|Fantasy
movie_1,Movie 1 - Jumanji (1995),2018,126,9.7,director_29,"[{'actorID': 'actor_0', 'characterID': 'char_184'}, {'actorID': 'actor_21', 'characterID': 'char_17'}, {'actorID': 'actor_46', 'characterID': 'char_169'}]","[{'name': 'Documentary', 'description': 'Non-fiction, informational film'}]",Adventure|Children|Fantasy
movie_2,Movie 2 - Grumpier Old Men (1995),2004,165,8.6,director_22,"[{'actorID': 'actor_19', 'characterID': 'char_209'}, {'actorID': 'actor_12', 'characterID': 'char_110'}, {'actorID': 'actor_47', 'characterID': 'char_319'}]","[{'name': 'Thriller', 'description': 'Suspenseful, tension-building plots'}, {'name': 'Family', 'description': 'Suitable for all ages'}, {'name': 'Action', 'description': 'High-intensity, fast-paced movies'}]",Comedy|Romance
movie_3,Movie 3 - Waiting to Exhale (1995),2018,113,5.2,director_23,"[{'actorID': 'actor_64', 'characterID': 'char_607'}, {'actorID': 'actor_18', 'characterID': 'char_64'}, {'actorID': 'actor_43', 'characterID': 'char_735'}, {'actorID': 'actor_70', 'characterID': 'char_347'}, {'actorID': 'actor_27', 'characterID': 'char_447'}, {'actorID': 'actor_42', 'characterID': 'char_670'}]","[{'name': 'Action', 'description': 'High-intensity, fast-paced movies'}]",Comedy|Drama|Romance
movie_4,Movie 4 - Father of the Bride Part II (1995),2016,167,5.5,director_30,"[{'actorID': 'actor_46', 'characterID': 'char_350'}, {'actorID': 'actor_27', 'characterID': 'char_528'}, {'actorID': 'actor_51', 'characterID': 'char_134'}]","[{'name': 'Animation', 'description': 'Animated content for all ages'}]",Comedy
movie_5,Movie 5 - Heat (1995),1992,174,9.8,director_22,"[{'actorID': 'actor_55', 'characterID': 'char_452'}, {'actorID': 'actor_46', 'characterID': 'char_484'}]","[{'name': 'History', 'description': 'Historical events and figures'}, {'name': 'Horror', 'description': 'Scary and fear-inducing themes'}]",Action|Crime|Thriller
movie_6,Movie 6 - Sabrina (1995),1986,134,5.2,director_3,"[{'actorID': 'actor_21', 'characterID': 'char_395'}, {'actorID': 'actor_12', 'characterID': 'char_411'}, {'actorID': 'actor_24', 'characterID': 'char_694'}, {'actorID': 'actor_33', 'characterID': 'char_69'}, {'actorID': 'actor_32', 'characterID': 'char_656'}, {'actorID': 'actor_67', 'characterID': 'char_685'}, {'actorID': 'actor_5', 'characterID': 'char_21'}]","[{'name': 'Crime', 'description': 'Focus on criminal acts and detection'}]",Comedy|Romance
movie_7,Movie 7 - Tom and Huck (1995),1997,155,7.4,director_16,"[{'actorID': 'actor_39', 'characterID': 'char_556'}, {'actorID': 'actor_10', 'characterID': 'char_688'}, {'actorID': 'actor_5', 'characterID': 'char_99'}, {'actorID': 'actor_55', 'characterID': 'char_218'}, {'actorID': 'actor_3', 'characterID': 'char_662'}, {'actorID': 'actor_59', 'characterID': 'char_115'}, {'actorID': 'actor_8', 'characterID': 'char_374'}]","[{'name': 'Comedy', 'description': 'Light-hearted, humorous content'}, {'name': 'Western', 'description': 'American Frontier, cowboy themes'}, {'name': 'Sci-Fi', 'description': 'Futuristic or science-based concepts'}]",Adventure|Children
movie_8,Movie 8 - Sudden Death (1995),2011,117,5.1,director_25,"[{'actorID': 'actor_28', 'characterID': 'char_100'}, {'actorID': 'actor_47', 'characterID': 'char_182'}, {'actorID': 'actor_62', 'characterID': 'char_52'}, {'actorID': 'actor_49', 'characterID': 'char_740'}, {'actorID': 'actor_73', 'characterID': 'char_47'}, {'actorID': 'actor_67', 'characterID': 'char_163'}]","[{'name': 'Comedy', 'description': 'Light-hearted, humorous content'}]",Action
movie_9,Movie 9 - GoldenEye (1995),1998,124,4.9,director_27,"[{'actorID': 'actor_50', 'characterID': 'char_561'}, {'actorID': 'actor_23', 'characterID': 'char_617'}]","[{'name': 'Documentary', 'description': 'Non-fiction, informational film'}]",Action|Adventure|Thriller
movie_10,"Movie 10 - American President, The (1995)",2014,180,8.3,director_33,"[{'actorID': 'actor_3', 'characterID': 'char_144'}, {'actorID': 'actor_20', 'characterID': 'char_301'}, {'actorID': 'actor_41', 'characterID': 'char_513'}, {'actorID': 'actor_2', 'characterID': 'char_469'}]","[{'name': 'History', 'description': 'Historical events and figures'}]",Comedy|Drama|Romance
movie_11,Movie 11 - Dracula: Dead and Loving It (1995),2009,146,9.1,director_12,"[{'actorID': 'actor_4', 'characterID': 'char_577'}, {'actorID': 'actor_27', 'characterID': 'char_685'}, {'actorID': 'actor_62', 'characterID': 'char_260'}]","[{'name': 'Horror', 'description': 'Scary and fear-inducing themes'}]",Comedy|Horror
movie_12,Movie 12 - Balto (1995),2018,82,7.6,director_16,"[{'actorID': 'actor_12', 'characterID': 'char_671'}, {'actorID': 'actor_42', 'characterID': 'char_367'}, {'actorID': 'actor_47', 'characterID': 'char_381'}, {'actorID': 'actor_36', 'characterID': 'char_75'}]","[{'name': 'Sci-Fi', 'description': 'Futuristic or science-based concepts'}, {'name': 'Biopic', 'description': 'Based on a real person’s life'}, {'name': 'War', 'description': 'Stories focused on warfare and conflict'}]",Adventure|Animation|Children
movie_13,Movie 13 - Nixon (1995),1998,99,7.6,director_4,"[{'actorID': 'actor_64', 'characterID': 'char_51'}, {'actorID': 'actor_36', 'characterID': 'char_686'}, {'actorID': 'actor_31', 'characterID': 'char_242'}, {'actorID': 'actor_22', 'characterID': 'char_448'}]","[{'name': 'Comedy', 'description': 'Light-hearted, humorous content'}, {'name': 'Western', 'description': 'American Frontier, cowboy themes'}, {'name': 'Documentary', 'description': 'Non-fiction, informational film'}]",Drama
movie_14,Movie 14 - Cutthroat Island (1995),2017,137,4.7,director_14,"[{'actorID': 'actor_56', 'characterID': 'char_107'}, {'actorID': 'actor_8', 'characterID': 'char_363'}, {'actorID': 'actor_7', 'characterID': 'char_383'}, {'actorID': 'actor_45', 'characterID': 'char_538'}, {'actorID': 'actor_73', 'characterID': 'char_660'}]","[{'name': 'Documentary', 'description': 'Non-fiction, informational film'}]",Action|Adventure|Romance
