scenario_id,description,premium_growth_rate,claim_frequency_shift,catastrophe_factor,discount_curve_override,lapse_rate,run_date
SCEN_9f75a9,Realize couple soon room.,0.04,0.19,1.96,CURVE_4,0.09,2023-03-10
SCEN_c4c8d9,Consider center garden season.,0.04,0.02,1.78,CURVE_3,0.09,2018-04-20
SCEN_28c5d5,Short give difficult piece industry tend.,0.06,0.12,1.95,CURVE_2,0.04,2024-12-30
SCEN_ce536c,Easy safe various our every.,0.13,0.12,2.11,CURVE_4,0.06,2018-11-03
SCEN_831303,Top consider color coach truth mission.,0.03,0.19,1.96,CURVE_3,0.08,2021-05-16
SCEN_09217e,Information until citizen should.,0.03,0.1,1.82,CURVE_4,0.04,2023-12-26
SCEN_9e7b42,Amount interesting change.,0.05,-0.0,2.1,CURVE_4,0.04,2020-01-11
SCEN_0d7764,Cost investment employee community school.,0.07,0.15,1.27,CURVE_3,0.09,2023-07-08
SCEN_f4b3e5,Often score natural.,0.05,0.14,1.39,CURVE_3,0.03,2025-07-05
SCEN_a39a91,Better cell hold.,0.03,0.08,1.3,CURVE_1,0.03,2025-12-22
SCEN_39bfde,Doctor contain better put upon cut.,0.13,0.08,2.27,CURVE_1,0.05,2024-09-20
SCEN_d9fde2,Heart south practice subject.,0.05,-0.03,2.38,CURVE_4,0.04,2018-02-16
SCEN_a665ec,Friend similar investment treat office.,0.09,0.01,1.64,CURVE_1,0.06,2020-11-02
SCEN_e0a193,Painting involve by.,0.05,0.2,1.71,CURVE_1,0.07,2025-10-09
SCEN_d7e5b6,Run set service Republican.,0.1,0.2,1.82,CURVE_3,0.1,2018-05-08
SCEN_197592,Great give economic physical notice.,0.12,0.06,2.02,CURVE_2,0.07,2018-12-09
SCEN_774282,Open court most book step bill.,0.11,0.16,1.7,CURVE_2,0.01,2018-07-03
SCEN_080e7d,Rather decide among theory.,0.12,0.15,1.26,CURVE_3,0.09,2020-12-01
SCEN_493ba8,Natural box seat realize.,0.03,0.08,2.47,CURVE_1,0.05,2022-04-04
SCEN_db9a32,Lay area wait with receive message.,0.07,0.07,1.34,CURVE_4,0.09,2021-06-24
SCEN_3d5b9d,Continue south mission modern seek.,0.09,0.06,1.83,CURVE_1,0.01,2022-10-02
SCEN_c5e457,Shake grow president relate.,0.13,0.13,1.66,CURVE_1,0.05,2025-12-27
SCEN_8aef5d,Role small employee.,0.09,0.13,1.38,CURVE_3,0.05,2019-05-11
SCEN_d1e726,Memory back hair him even.,0.02,0.19,1.57,CURVE_1,0.05,2019-09-05
SCEN_4e9ea5,Able material store meeting capital also.,0.15,0.09,1.25,CURVE_4,0.09,2023-03-16
SCEN_3c7736,Station husband see country computer.,0.08,0.19,1.6,CURVE_1,0.02,2025-11-27
SCEN_cab093,Color maintain up conference list.,0.02,0.17,2.3,CURVE_4,0.09,2022-06-06
SCEN_f0094a,Sell letter investment.,0.13,0.18,0.99,CURVE_2,0.05,2018-07-01
SCEN_7b29c1,Anything he realize mother laugh worker.,0.14,0.03,1.41,CURVE_5,0.05,2020-03-21
SCEN_8ae8b3,Weight grow expert baby kitchen.,0.12,0.17,1.86,CURVE_5,0.05,2024-06-21
SCEN_cc55d8,Return material data.,0.03,0.13,2.08,CURVE_3,0.07,2025-05-15
SCEN_f0b745,Toward among public.,0.14,0.13,1.95,CURVE_2,0.05,2024-11-15
SCEN_865e6e,Middle marriage security should television oil.,0.08,0.1,0.97,CURVE_4,0.02,2025-04-29
SCEN_24fc05,Either what other lawyer.,0.11,0.09,2.04,CURVE_3,0.04,2025-04-23
SCEN_d8f017,Street late form.,0.06,0.02,2.22,CURVE_4,0.1,2025-12-09
SCEN_eb2dc1,Ask debate argue century.,0.09,-0.03,1.79,CURVE_1,0.07,2018-11-17
SCEN_ef5d50,Care throughout debate attack life develop.,0.02,0.05,2.18,CURVE_4,0.01,2018-04-20
SCEN_5350d2,Current question leg score.,0.09,0.11,1.58,CURVE_5,0.03,2021-03-21
SCEN_d57e22,Less door brother.,0.1,0.07,2.47,CURVE_4,0.02,2023-10-22
SCEN_d9460f,Culture industry field old source.,0.03,0.02,2.05,CURVE_5,0.03,2019-02-28
SCEN_284944,Trip property especially forget.,0.01,0.06,2.26,CURVE_1,0.09,2025-04-29
SCEN_06f6c4,Move positive what for happen.,0.15,-0.01,1.98,CURVE_3,0.05,2020-09-29
SCEN_00add3,Environment produce learn model activity.,0.04,-0.04,1.92,CURVE_3,0.03,2024-07-15
SCEN_b84b06,Back election consumer site performance.,0.12,0.09,1.04,CURVE_2,0.07,2018-11-29
SCEN_e957c9,Head care message.,0.05,0.16,1.5,CURVE_4,0.05,2020-10-24
SCEN_e9e28f,Rise through feeling.,0.06,0.15,1.34,CURVE_2,0.1,2025-02-07
SCEN_b6ee8d,Enough work him key follow.,0.13,0.06,1.13,CURVE_5,0.02,2025-10-06
SCEN_928d97,Treatment especially worry learn.,0.06,0.19,1.4,CURVE_1,0.06,2025-01-13
SCEN_7e1953,Per door before garden act.,0.05,0.11,2.44,CURVE_3,0.01,2025-03-27
SCEN_18eba1,Left let civil mean.,0.13,0.07,0.93,CURVE_4,0.08,2025-11-07
