policy_group_id,period,csm_opening,csm_accretion,csm_release,csm_closing,risk_adjustment,loss_component,coverage_units,service_expense,insurance_revenue,reinsurance_asset_change
GRP93840,2021-06-30,346304.87,1315.92,588.7,347032.08999999997,4810.23,297.4,78,9311.5,10190.12,-143.91
GRP83899,2025-11-17,497078.04,4781.78,4474.93,497384.89,3631.9,1370.26,95,9053.07,11189.85,-1114.29
GRP67143,2025-09-02,379092.09,1756.66,1929.07,378919.68,2679.04,1405.88,36,9152.46,23968.34,1634.91
GRP15175,2019-11-24,409936.97,1835.49,6627.57,405144.88999999996,5074.47,1235.08,6,5824.55,28589.99,-4407.99
GRP92072,2023-06-11,27991.97,520.51,8878.75,19633.73,3232.14,1969.02,45,8831.08,18625.19,-3644.1
GRP95529,2024-06-05,28654.85,1522.94,3701.29,26476.499999999996,4982.57,581.16,94,1857.37,12356.37,-3673.44
GRP96430,2025-08-23,273458.05,4133.17,7843.91,269747.31,1024.28,559.94,95,9033.16,9479.41,-2464.38
GRP84681,2022-12-12,59306.6,1100.83,7710.49,52696.94,4695.8,1035.39,31,6427.61,13300.58,1557.83
GRP48447,2022-09-04,241758.06,2306.02,5873.16,238190.91999999998,4896.19,655.46,80,5225.88,8732.4,1140.36
GRP64977,2022-05-21,451198.86,1586.85,8794.94,443990.76999999996,6315.22,1798.06,55,4304.96,9689.66,-1168.8
GRP99607,2021-01-07,370450.09,593.61,1987.28,369056.42,3058.36,1510.1,91,3731.38,27811.38,961.61
GRP80319,2025-06-27,220868.6,993.26,3594.39,218267.47,6749.29,1107.17,86,6205.02,13180.91,1429.48
GRP90773,2021-06-08,112018.22,856.73,726.86,112148.09,7823.73,1887.27,66,6152.19,7908.58,-4623.21
GRP34536,2020-02-05,417957.01,4272.85,4696.19,417533.67,5684.65,432.08,72,6520.22,26125.85,-1415.7
GRP54130,2023-09-18,198823.37,1481.07,4951.42,195353.02,8630.26,1798.82,4,2173.33,6579.4,298.71
GRP79187,2022-12-13,452108.59,4111.0,7836.12,448383.47000000003,5404.99,1958.18,42,5805.38,24924.73,-2563.89
GRP72023,2025-03-26,231982.53,3990.01,4408.34,231564.2,9272.18,79.49,50,2053.16,5716.18,-194.24
GRP80076,2024-01-07,27999.44,3788.27,7766.25,24021.46,3208.81,1708.45,27,7909.14,10337.2,4720.69
GRP59854,2020-07-28,413909.69,2173.41,5532.82,410550.27999999997,5572.59,1888.83,84,1997.69,14657.03,-2654.42
GRP01245,2018-12-30,97360.27,3424.27,997.74,99786.8,6496.17,390.98,55,5139.62,17470.28,-3011.65
GRP69781,2022-12-31,120352.59,2732.22,8133.11,114951.7,3134.27,534.16,63,7705.93,5170.46,-3173.96
GRP74686,2024-07-29,458972.62,1242.78,2194.16,458021.24000000005,3811.06,1180.97,14,7783.13,9835.37,-1286.91
GRP37244,2024-12-03,16744.02,2055.71,8720.36,10079.369999999999,1046.9,371.5,91,7188.31,6368.13,-352.06
