policy_id,policy_group_id,start_date,end_date,line_of_business,coverage_term_months,underwriting_year,currency,ifrs_model_type,status
POL76966969,GRP04477,2020-05-12,2021-08-05,Property,15,2020,USD,GMM,Expired
POL76668032,GRP41622,2020-05-23,2023-05-08,Property,36,2020,USD,GMM,Cancelled
POL09670469,GRP71247,2023-04-09,2025-10-25,Health,31,2023,USD,GMM,Active
POL75456062,GRP22632,2022-03-07,2024-11-21,Property,33,2022,GBP,PAA,Active
POL11480517,GRP19428,2020-08-26,2022-05-18,Health,21,2020,EUR,GMM,Cancelled
POL30122846,GRP06327,2018-08-30,2019-10-24,Life,14,2018,GBP,GMM,Expired
POL63214726,GRP97445,2021-12-06,2023-03-01,Health,15,2021,USD,PAA,Cancelled
POL50841468,GRP05669,2019-02-23,2019-08-22,Life,6,2019,USD,PAA,Active
POL45624930,GRP32089,2021-09-18,2022-03-17,Motor,6,2021,USD,PAA,Expired
POL05345831,GRP03442,2024-09-12,2026-03-06,Life,18,2024,EUR,GMM,Cancelled
POL38589371,GRP42687,2020-09-09,2022-05-02,Health,20,2020,USD,PAA,Active
POL05051640,GRP90657,2020-02-08,2020-12-04,Life,10,2020,USD,GMM,Active
POL33559957,GRP41817,2025-04-08,2026-03-04,Property,11,2025,EUR,PAA,Cancelled
POL41546750,GRP86147,2024-09-18,2026-12-07,Health,27,2024,EUR,PAA,Cancelled
POL69860862,GRP59877,2022-11-02,2024-11-21,Life,25,2022,EUR,PAA,Active
POL81637983,GRP56458,2020-11-23,2023-03-13,Health,28,2020,USD,GMM,Expired
POL35889399,GRP57399,2024-10-30,2025-06-27,Life,8,2024,GBP,PAA,Cancelled
POL43771399,GRP08416,2023-04-28,2025-08-15,Life,28,2023,GBP,GMM,Cancelled
POL18460253,GRP47843,2024-03-30,2026-07-18,Property,28,2024,GBP,GMM,Expired
POL11299323,GRP25528,2023-05-15,2024-10-06,Property,17,2023,USD,GMM,Expired
