treaty_id,treaty_type,coverage_start_date,coverage_end_date,ceding_company,reinsurer_name,limit_amount,retention_amount,quota_share_percent,commission_percent,profit_commission_flag
TREATY315651,Surplus,2015-02-15,2018-02-06,"Jones, Martinez and Ford","Villanueva, Tyler and Jacobson",6814984.18,702474.47,35.22,24.7,True
TREATY529251,Facultative,2022-07-03,2024-02-09,Smith-Morris,Morrow-Walker,8274214.34,994916.84,25.33,21.58,True
TREATY472487,Surplus,2019-01-03,2021-03-30,Wood Ltd,Anderson-Bryan,5092115.16,423749.62,36.09,24.99,True
TREATY453337,Quota Share,2019-11-11,2023-09-20,"Peck, Cooper and Allen",Banks-Blackburn,7895174.64,851648.43,68.07,6.22,True
TREATY159432,Facultative,2023-11-28,2027-05-14,Garcia and Sons,"Henderson, Jackson and Foster",1430781.78,398342.16,37.24,9.99,True
TREATY219347,Quota Share,2022-08-17,2025-05-28,"Knapp, Riggs and Wood","Gallagher, Beasley and Perez",5956861.6,202251.84,27.2,8.91,True
TREATY983879,Facultative,2018-02-09,2022-01-08,Gilmore Inc,"Spencer, Gallagher and Smith",6442101.37,214070.06,54.7,24.56,False
TREATY694212,Facultative,2018-10-07,2023-02-08,Harris Inc,Fleming-Contreras,1196743.05,570810.56,16.34,8.67,False
TREATY402011,Surplus,2017-08-30,2021-04-21,Hall and Sons,Mata-Jones,4590185.05,332807.38,73.61,11.73,True
TREATY861474,XoL,2018-12-31,2023-07-16,Phillips-Norton,Hendrix PLC,698782.25,126107.61,48.77,8.05,False
TREATY426034,Surplus,2017-07-01,2019-01-20,Thomas LLC,"Parsons, Gomez and Brady",3333699.58,376160.13,55.24,13.92,True
TREATY243913,XoL,2017-09-19,2019-05-22,Morgan Ltd,"Rosales, Owens and Gutierrez",6754821.77,582204.35,53.36,24.56,True
TREATY104782,Surplus,2022-03-29,2024-04-23,Payne-Kelley,"Adams, Martin and Solis",7306005.16,617417.62,40.54,19.87,True
TREATY577966,Quota Share,2016-03-15,2019-10-29,Miller PLC,"Mcgee, Wilkerson and Erickson",6495262.51,394322.5,82.57,10.81,True
TREATY671905,Quota Share,2016-02-17,2020-05-25,Wall-Reed,"Burnett, Chang and Brown",1722437.56,583211.33,13.54,17.46,True
TREATY407432,Facultative,2018-01-05,2019-08-17,"Finley, Coleman and Smith","Sims, Howard and Bullock",917435.45,667236.52,69.35,8.97,False
TREATY431245,Surplus,2015-05-07,2018-02-22,Palmer-Douglas,Quinn Ltd,5490495.22,507776.61,17.01,23.3,True
TREATY891504,Quota Share,2022-07-22,2026-03-27,Martinez-Anderson,"Murphy, White and Reese",4458330.5,516565.83,29.67,5.37,False
TREATY388333,XoL,2016-09-03,2021-02-09,"Price, Parker and Lopez",Harmon LLC,3363420.37,78716.32,88.12,15.51,True
TREATY587203,XoL,2019-08-10,2021-09-07,Coleman LLC,"Garcia, Jensen and Brooks",8660368.92,265919.75,89.14,23.95,True
TREATY068577,Surplus,2023-07-05,2025-05-04,"Adams, Clark and Williams",Lynn-Thompson,9206093.64,443803.76,78.68,14.46,True
