id,companyName,licenseNumber,location
company_0,Perez-Jackson Construction,LIC-40699,Amandaville
company_1,Ortiz PLC Construction,LIC-16720,Christensenside
company_2,Tran Group Construction,LIC-86865,Leonport
company_3,"Galloway, Pierce and Chase Construction",LIC-82330,Jeffreyville
company_4,Hernandez-Rogers Construction,LIC-58696,South Sarahmouth
company_5,James-Smith Construction,LIC-70510,Webbhaven
company_6,"Dunn, Jackson and Pena Construction",LIC-84323,Lake Justin
company_7,Rivera LLC Construction,LIC-39163,West Michaelburgh
company_8,Washington Inc Construction,LIC-87001,New Seanbury
company_9,Downs LLC Construction,LIC-15483,Alexisbury
company_10,Roberts Inc Construction,LIC-35284,Caseborough
company_11,Shea Ltd Construction,LIC-80179,Melanieburgh
company_12,"Vaughn, Smith and Fry Construction",LIC-46702,Norrisville
company_13,"Adams, Lewis and Olson Construction",LIC-26752,Huntermouth
company_14,Murphy Group Construction,LIC-75497,Avilaland
company_15,Bailey Group Construction,LIC-54352,South Matthewmouth
company_16,Roach-Day Construction,LIC-25052,East Jacquelineberg
company_17,"Garcia, Gray and Morales Construction",LIC-93244,New Ryanstad
company_18,"Faulkner, Lee and Macias Construction",LIC-23179,South Bradley
company_19,Mitchell PLC Construction,LIC-98941,North Sheila
