id,orderID,orderType,side,quantity,limitPrice,timeInForce,status,creationDateTime,investorID,brokerID,exchangeID,instrumentID
ord_0,ORD-619957,Limit,Buy,721,87.16,GTC,PartiallyFilled,2024-04-06T01:25:56,inv_12,,exch_3,instr_64
ord_1,ORD-975478,Stop,Buy,719,,GTC,Open,2025-01-15T11:55:49,inv_24,broker_0,exch_5,instr_28
ord_2,ORD-204547,Market,Sell,298,,GTC,PartiallyFilled,2024-04-25T07:28:30,inv_0,broker_2,exch_2,instr_3
ord_3,ORD-993206,Market,Sell,193,,GTC,PartiallyFilled,2024-05-31T14:44:28,inv_12,broker_1,exch_3,instr_19
ord_4,ORD-560407,Limit,Sell,201,313.38,GTC,Cancelled,2024-06-01T23:26:51,inv_0,broker_5,exch_1,instr_63
ord_5,ORD-187205,Limit,Buy,311,212.56,DAY,Cancelled,2024-10-25T16:37:06,inv_22,broker_13,exch_2,instr_6
ord_6,ORD-490927,Limit,Sell,674,298.2,GTC,PartiallyFilled,2024-10-29T00:03:50,inv_28,broker_4,exch_4,instr_51
ord_7,ORD-227393,Market,Sell,529,,DAY,PartiallyFilled,2024-11-23T13:41:05,inv_20,,exch_0,instr_2
ord_8,ORD-363407,Market,Buy,783,,DAY,Cancelled,2025-02-14T07:40:50,inv_26,broker_3,exch_5,instr_68
ord_9,ORD-701275,Stop,Sell,510,,DAY,Cancelled,2025-01-26T11:47:39,inv_3,broker_9,exch_4,instr_14
ord_10,ORD-863917,Stop,Sell,430,,GTC,PartiallyFilled,2024-05-30T20:52:36,inv_17,broker_14,exch_0,instr_53
ord_11,ORD-892722,Market,Sell,955,,GTC,PartiallyFilled,2024-02-25T00:49:08,inv_3,broker_4,exch_2,instr_79
ord_12,ORD-958464,Market,Buy,705,,GTC,PartiallyFilled,2024-03-08T11:30:33,inv_18,broker_4,exch_2,instr_77
ord_13,ORD-381979,Market,Buy,1000,,GTC,PartiallyFilled,2024-10-13T20:36:51,inv_25,broker_3,exch_7,instr_57
ord_14,ORD-595716,Limit,Sell,715,324.02,GTC,PartiallyFilled,2024-03-11T05:44:25,inv_11,,exch_3,instr_34
ord_15,ORD-495869,Limit,Buy,581,218.46,DAY,Open,2024-07-28T08:24:36,inv_16,broker_6,exch_1,instr_45
ord_16,ORD-691598,Limit,Buy,897,151.1,DAY,Cancelled,2025-01-09T15:21:00,inv_20,broker_10,exch_5,instr_31
ord_17,ORD-540352,Stop,Sell,42,,DAY,Filled,2024-04-25T09:38:31,inv_20,broker_13,exch_1,instr_51
ord_18,ORD-334798,Limit,Buy,250,179.83,DAY,PartiallyFilled,2024-08-16T16:19:09,inv_28,broker_12,exch_0,instr_78
ord_19,ORD-785335,Market,Buy,195,,GTC,PartiallyFilled,2024-11-18T12:49:58,inv_25,broker_1,exch_4,instr_13
ord_20,ORD-182671,Market,Sell,606,,DAY,Filled,2024-11-14T16:43:52,inv_22,broker_7,exch_1,instr_58
ord_21,ORD-442121,Market,Sell,828,,GTC,Open,2024-06-08T18:33:34,inv_15,broker_14,exch_5,instr_32
ord_22,ORD-572494,Stop,Buy,508,,GTC,Open,2024-11-12T14:17:44,inv_28,broker_4,exch_6,instr_52
ord_23,ORD-843816,Market,Buy,624,,GTC,Open,2024-06-05T15:49:11,inv_3,,exch_2,instr_73
ord_24,ORD-855122,Limit,Sell,83,51.84,DAY,Cancelled,2024-09-12T17:07:36,inv_3,broker_0,exch_0,instr_43
ord_25,ORD-263489,Limit,Sell,74,261.8,GTC,Cancelled,2024-04-18T19:33:25,inv_3,broker_5,exch_5,instr_14
ord_26,ORD-959953,Market,Sell,608,,GTC,Cancelled,2024-05-25T04:50:39,inv_11,broker_9,exch_7,instr_62
ord_27,ORD-843472,Limit,Sell,222,284.46,GTC,Cancelled,2024-09-05T19:56:04,inv_11,broker_12,exch_6,instr_78
ord_28,ORD-456279,Market,Buy,471,,DAY,Open,2024-06-28T04:28:55,inv_24,broker_3,exch_6,instr_64
ord_29,ORD-472391,Stop,Buy,289,,GTC,Open,2024-03-29T19:48:32,inv_21,broker_14,exch_6,instr_77
ord_30,ORD-336684,Limit,Buy,403,239.89,DAY,Open,2024-07-21T06:29:58,inv_9,broker_14,exch_2,instr_54
ord_31,ORD-242626,Limit,Sell,120,344.1,GTC,Filled,2024-09-29T22:12:52,inv_4,broker_1,exch_2,instr_71
ord_32,ORD-225877,Market,Buy,538,,GTC,Cancelled,2025-01-13T10:43:46,inv_7,broker_9,exch_6,instr_65
ord_33,ORD-574391,Limit,Sell,441,483.47,DAY,Filled,2024-12-21T00:32:14,inv_20,broker_5,exch_7,instr_77
ord_34,ORD-747628,Limit,Buy,606,416.22,DAY,Filled,2025-02-07T18:50:45,inv_14,,exch_1,instr_23
ord_35,ORD-190674,Stop,Sell,453,,GTC,Cancelled,2024-02-26T13:55:56,inv_12,broker_6,exch_7,instr_21
ord_36,ORD-668404,Limit,Sell,408,32.29,GTC,PartiallyFilled,2024-11-07T04:55:41,inv_26,broker_5,exch_4,instr_55
ord_37,ORD-386880,Stop,Sell,861,,DAY,Filled,2024-06-12T08:48:08,inv_26,broker_14,exch_1,instr_44
ord_38,ORD-363223,Stop,Sell,977,,DAY,PartiallyFilled,2024-07-16T11:24:15,inv_13,broker_2,exch_2,instr_13
ord_39,ORD-845545,Market,Buy,785,,GTC,Open,2024-10-23T02:47:56,inv_22,broker_4,exch_2,instr_46
ord_40,ORD-153315,Stop,Sell,775,,DAY,Open,2024-11-30T20:14:38,inv_24,broker_1,exch_7,instr_38
ord_41,ORD-234666,Stop,Buy,727,,GTC,Open,2024-08-14T19:17:24,inv_19,broker_5,exch_1,instr_71
ord_42,ORD-433634,Stop,Buy,822,,DAY,PartiallyFilled,2024-08-21T03:51:29,inv_15,,exch_6,instr_27
ord_43,ORD-169974,Stop,Sell,271,,DAY,PartiallyFilled,2024-03-25T15:38:28,inv_22,broker_5,exch_1,instr_75
ord_44,ORD-850270,Limit,Buy,31,257.68,GTC,Cancelled,2024-04-13T14:38:32,inv_17,broker_12,exch_0,instr_2
ord_45,ORD-932184,Limit,Sell,52,412.55,DAY,Filled,2024-07-09T00:14:53,inv_24,broker_10,exch_3,instr_21
ord_46,ORD-341004,Limit,Sell,463,267.82,GTC,PartiallyFilled,2024-11-17T01:30:55,inv_6,broker_10,exch_5,instr_37
ord_47,ORD-525781,Market,Sell,956,,DAY,Open,2024-09-14T10:36:45,inv_20,,exch_3,instr_46
ord_48,ORD-944314,Market,Sell,762,,DAY,Cancelled,2024-11-08T05:52:57,inv_29,broker_9,exch_1,instr_38
ord_49,ORD-503947,Limit,Sell,63,293.61,DAY,Open,2024-03-30T01:25:21,inv_27,,exch_2,instr_70
ord_50,ORD-275060,Limit,Sell,545,120.56,GTC,PartiallyFilled,2024-03-13T13:37:14,inv_25,broker_3,exch_3,instr_30
ord_51,ORD-829607,Limit,Buy,307,303.15,DAY,Cancelled,2024-06-01T00:32:45,inv_3,broker_5,exch_5,instr_68
ord_52,ORD-626390,Limit,Sell,211,84.71,DAY,Open,2024-08-11T09:34:43,inv_21,broker_8,exch_3,instr_69
ord_53,ORD-980824,Limit,Buy,458,296.7,DAY,PartiallyFilled,2024-06-02T00:17:33,inv_29,broker_7,exch_7,instr_1
ord_54,ORD-440253,Stop,Sell,985,,GTC,Cancelled,2024-06-28T21:27:51,inv_26,broker_5,exch_3,instr_24
ord_55,ORD-276017,Limit,Sell,344,78.37,GTC,Open,2025-02-15T15:37:12,inv_15,,exch_4,instr_39
ord_56,ORD-193740,Market,Sell,773,,DAY,Filled,2024-08-24T22:56:14,inv_26,broker_2,exch_7,instr_20
ord_57,ORD-953615,Limit,Buy,985,11.41,DAY,PartiallyFilled,2024-11-19T12:21:37,inv_7,broker_12,exch_0,instr_61
ord_58,ORD-351637,Market,Buy,915,,DAY,PartiallyFilled,2025-01-14T13:47:11,inv_4,broker_3,exch_5,instr_8
ord_59,ORD-598965,Stop,Sell,320,,DAY,Open,2024-03-13T19:25:46,inv_7,broker_7,exch_3,instr_20
ord_60,ORD-922092,Limit,Buy,400,477.37,GTC,Cancelled,2024-10-23T20:31:56,inv_23,broker_14,exch_7,instr_44
ord_61,ORD-892327,Stop,Sell,850,,DAY,Cancelled,2024-07-11T14:34:08,inv_22,broker_11,exch_6,instr_2
ord_62,ORD-741356,Stop,Sell,915,,GTC,Filled,2024-11-19T09:09:16,inv_6,broker_0,exch_5,instr_10
ord_63,ORD-549083,Market,Sell,163,,GTC,Cancelled,2024-05-11T05:35:12,inv_21,broker_3,exch_4,instr_71
ord_64,ORD-374884,Stop,Buy,479,,GTC,Filled,2024-09-29T14:15:42,inv_9,broker_3,exch_4,instr_29
ord_65,ORD-670949,Market,Sell,188,,GTC,Open,2025-01-15T01:58:53,inv_0,broker_12,exch_1,instr_62
