id,distributorName,location,distributorID
dist_0,Spence-Washington Distribution,Gabriellestad,DIST-34612
dist_1,"Ortega, Cantu and Brown Distribution",Donnahaven,DIST-77312
dist_2,Clark-Howe Distribution,New Christinehaven,DIST-20587
dist_3,Adams-Richmond Distribution,Frenchchester,DIST-29948
dist_4,Cantrell-Flores Distribution,South Alexabury,DIST-64967
dist_5,"Williams, Carter and Herrera Distribution",West Autumnton,DIST-73379
dist_6,Macias-Davies Distribution,Mendezland,DIST-88682
dist_7,"White, Russell and Adams Distribution",Riverachester,DIST-29576
dist_8,"Castro, Graham and Oneal Distribution",Rickeyview,DIST-35252
dist_9,"Jordan, Hansen and Petersen Distribution",West Hannah,DIST-29261
dist_10,Arnold Ltd Distribution,East Jasmine,DIST-35924
dist_11,"Castillo, Powell and Wilson Distribution",Dorseyhaven,DIST-73707
dist_12,Howell-Boyd Distribution,Johnsonview,DIST-40768
dist_13,Mccullough-Barajas Distribution,Benjaminhaven,DIST-32521
dist_14,Parker Inc Distribution,Howardville,DIST-47836
