id,shipmentID,shipDate,receiveDate,fromEntityID,toEntityID,batchIDs
ship_0,SHP-96123,2024-12-14T16:47:59,2025-01-03T16:47:59,dist_7,ph_4,"['batch_10', 'batch_7']"
ship_1,SHP-14019,2024-11-14T08:34:35,2024-11-19T08:34:35,dist_14,dist_1,"['batch_32', 'batch_39', 'batch_25']"
ship_2,SHP-55435,2024-10-24T04:45:36,2024-10-29T04:45:36,mfg_6,ph_16,"['batch_13', 'batch_23', 'batch_39']"
ship_3,SHP-81454,2024-06-25T04:53:54,2024-07-07T04:53:54,mfg_3,dist_5,['batch_12']
ship_4,SHP-70097,2024-11-28T14:05:27,2024-12-04T14:05:27,dist_0,ph_11,['batch_26']
ship_5,SHP-44601,2024-10-18T19:17:31,2024-11-05T19:17:31,dist_4,ph_19,['batch_25']
ship_6,SHP-61462,2024-09-18T20:28:53,2024-09-30T20:28:53,dist_8,dist_13,"['batch_21', 'batch_1']"
ship_7,SHP-10328,2024-04-21T14:46:29,2024-05-05T14:46:29,dist_6,ph_4,"['batch_36', 'batch_38']"
ship_8,SHP-41598,2024-03-18T07:27:23,2024-03-23T07:27:23,mfg_8,ph_15,['batch_3']
ship_9,SHP-23402,2024-04-25T01:10:04,2024-05-09T01:10:04,mfg_7,ph_11,['batch_16']
ship_10,SHP-88373,2024-03-03T15:49:59,2024-03-05T15:49:59,mfg_0,ph_16,['batch_1']
ship_11,SHP-16307,2024-08-17T05:09:48,2024-08-22T05:09:48,mfg_7,ph_2,['batch_24']
ship_12,SHP-65269,2024-07-24T22:44:01,2024-07-31T22:44:01,mfg_3,dist_7,['batch_21']
ship_13,SHP-19999,2024-12-25T07:32:04,2025-01-13T07:32:04,dist_5,ph_2,"['batch_38', 'batch_11', 'batch_29']"
ship_14,SHP-60402,2024-11-19T17:07:38,2024-11-21T17:07:38,dist_2,dist_0,['batch_4']
ship_15,SHP-93094,2025-01-07T11:47:55,2025-01-26T11:47:55,mfg_6,dist_0,['batch_8']
ship_16,SHP-39026,2024-03-01T07:36:08,2024-03-14T07:36:08,dist_0,dist_1,"['batch_20', 'batch_2', 'batch_9']"
ship_17,SHP-40998,2024-10-22T10:43:36,2024-11-03T10:43:36,dist_0,dist_4,"['batch_14', 'batch_19']"
ship_18,SHP-37932,2025-02-11T07:19:55,2025-02-23T07:19:55,dist_3,ph_8,['batch_6']
ship_19,SHP-70750,2024-09-05T01:33:08,2024-09-07T01:33:08,dist_6,ph_18,['batch_7']
ship_20,SHP-11711,2024-04-04T06:57:44,2024-04-22T06:57:44,dist_13,ph_17,['batch_36']
ship_21,SHP-35551,2024-08-17T20:46:35,2024-08-27T20:46:35,dist_8,dist_6,['batch_8']
ship_22,SHP-20059,2025-01-31T03:58:48,2025-02-10T03:58:48,mfg_4,ph_10,"['batch_5', 'batch_31']"
ship_23,SHP-58625,2024-04-09T18:15:20,2024-04-23T18:15:20,dist_1,dist_14,"['batch_19', 'batch_1']"
ship_24,SHP-38831,2024-08-22T13:11:14,2024-09-07T13:11:14,dist_13,ph_16,['batch_37']
ship_25,SHP-66724,2025-01-04T22:15:44,2025-01-08T22:15:44,dist_2,dist_14,"['batch_29', 'batch_10', 'batch_33']"
ship_26,SHP-34402,2025-01-16T02:13:51,2025-01-18T02:13:51,dist_13,ph_0,"['batch_18', 'batch_8']"
ship_27,SHP-80363,2024-03-24T19:15:54,2024-03-29T19:15:54,dist_3,dist_6,"['batch_13', 'batch_29']"
ship_28,SHP-27847,2024-04-05T16:09:06,2024-04-25T16:09:06,dist_6,dist_0,"['batch_37', 'batch_14']"
ship_29,SHP-76331,2024-11-25T06:53:18,2024-12-04T06:53:18,dist_2,ph_6,['batch_1']
ship_30,SHP-53486,2024-06-06T17:14:52,2024-06-23T17:14:52,dist_1,dist_10,['batch_39']
ship_31,SHP-86976,2024-06-05T03:37:07,2024-06-17T03:37:07,mfg_4,dist_14,"['batch_22', 'batch_8', 'batch_5']"
ship_32,SHP-55020,2024-04-29T17:59:27,2024-05-10T17:59:27,mfg_8,ph_4,"['batch_6', 'batch_16', 'batch_35']"
ship_33,SHP-95382,2024-04-11T08:46:14,2024-04-28T08:46:14,dist_13,ph_3,['batch_13']
ship_34,SHP-79784,2024-10-17T04:47:25,2024-10-30T04:47:25,dist_4,ph_17,"['batch_13', 'batch_29', 'batch_10']"
ship_35,SHP-81434,2025-01-05T23:36:54,2025-01-22T23:36:54,dist_14,dist_2,['batch_30']
ship_36,SHP-98703,2024-12-11T20:19:52,2024-12-30T20:19:52,dist_0,ph_6,"['batch_33', 'batch_36', 'batch_29']"
ship_37,SHP-49271,2024-08-08T03:19:48,2024-08-21T03:19:48,mfg_3,dist_8,['batch_37']
ship_38,SHP-97535,2024-06-27T10:08:40,2024-07-06T10:08:40,dist_14,dist_3,"['batch_3', 'batch_33']"
ship_39,SHP-84954,2024-04-05T21:48:16,2024-04-19T21:48:16,dist_12,ph_11,"['batch_9', 'batch_19']"
ship_40,SHP-63290,2024-12-14T20:42:14,2024-12-21T20:42:14,mfg_8,dist_14,['batch_20']
ship_41,SHP-86870,2024-04-25T16:29:28,2024-04-30T16:29:28,mfg_6,ph_8,['batch_2']
ship_42,SHP-30611,2025-01-15T13:09:51,2025-01-18T13:09:51,dist_7,ph_9,['batch_12']
ship_43,SHP-94899,2024-02-22T14:53:02,2024-02-28T14:53:02,mfg_3,dist_12,"['batch_27', 'batch_9']"
ship_44,SHP-97765,2024-09-20T03:56:47,2024-09-25T03:56:47,mfg_4,ph_1,"['batch_1', 'batch_3']"
