floorID,buildingID,floorNumber,usableAreaSqFt
F001,B001,1,17720.0
F002,B001,2,11750.0
F003,B001,3,10182.0
F004,B001,4,7876.0
F005,B001,5,14867.0
F006,B001,6,14511.0
F007,B001,7,26334.0
F008,B002,1,8996.0
F009,B002,2,22648.0
F010,B002,3,18610.0
F011,B002,4,9522.0
F012,B002,5,5401.0
F013,B002,6,20891.0
F014,B002,7,17180.0
F015,B002,8,14301.0
F016,B002,9,29225.0
F017,B002,10,25891.0
F018,B002,11,5670.0
F019,B003,1,20880.0
F020,B003,2,27075.0
F021,B003,3,20460.0
F022,B003,4,23672.0
F023,B003,5,16027.0
F024,B003,6,19645.0
F025,B003,7,29407.0
F026,B003,8,25881.0
F027,B003,9,7400.0
F028,B003,10,26240.0
F029,B003,11,22442.0
F030,B003,12,17253.0
F031,B004,1,29064.0
F032,B004,2,28799.0
F033,B004,3,11047.0
F034,B004,4,25281.0
F035,B004,5,8352.0
F036,B004,6,24139.0
F037,B004,7,8664.0
F038,B004,8,23363.0
F039,B004,9,17038.0
F040,B004,10,6095.0
F041,B004,11,21649.0
F042,B005,1,24932.0
F043,B005,2,9421.0
F044,B005,3,9394.0
F045,B005,4,14984.0
F046,B005,5,15026.0
F047,B005,6,20904.0
F048,B005,7,25261.0
F049,B005,8,18922.0
F050,B006,1,9188.0
F051,B006,2,7353.0
F052,B006,3,24362.0
F053,B006,4,26591.0
F054,B007,1,13305.0
F055,B007,2,7120.0
F056,B007,3,18202.0
F057,B007,4,14853.0
F058,B007,5,22731.0
F059,B007,6,24860.0
F060,B007,7,21807.0
F061,B007,8,8685.0
F062,B007,9,5797.0
F063,B007,10,9545.0
F064,B008,1,14196.0
F065,B008,2,11489.0
F066,B008,3,17568.0
F067,B008,4,5215.0
F068,B008,5,13250.0
F069,B008,6,18071.0
F070,B008,7,28920.0
