id,orderNumber,orderDate,status,totalAmount,sellerType,sellerID,retailerID,productIDs
order_0,ON-0-8856,2024-10-04,Delivered,12907.36,warehouse,warehouse_7,retailer_43,"['product_7', 'product_64', 'product_69', 'product_57']"
order_1,ON-1-7942,2023-05-30,Cancelled,7269.1,warehouse,warehouse_5,retailer_42,"['product_28', 'product_12']"
order_2,ON-2-3694,2023-12-30,Pending,11359.02,warehouse,warehouse_10,retailer_3,"['product_16', 'product_48', 'product_94']"
order_3,ON-3-5794,2023-08-14,Shipped,3007.46,warehouse,warehouse_9,retailer_26,"['product_87', 'product_80', 'product_74']"
order_4,ON-4-9434,2023-03-14,Shipped,9461.91,warehouse,warehouse_6,retailer_35,"['product_75', 'product_28']"
order_5,ON-5-3857,2023-05-25,Cancelled,8302.07,manufacturer,manufacturer_5,retailer_49,"['product_88', 'product_38', 'product_66', 'product_37']"
order_6,ON-6-4300,2024-02-11,Cancelled,15832.0,manufacturer,manufacturer_2,retailer_26,"['product_19', 'product_37', 'product_41']"
order_7,ON-7-3089,2024-12-01,Delivered,5349.99,warehouse,warehouse_1,retailer_20,"['product_70', 'product_45', 'product_28', 'product_38']"
order_8,ON-8-9324,2024-07-03,Pending,21269.81,warehouse,warehouse_19,retailer_30,"['product_49', 'product_65', 'product_80', 'product_77', 'product_19']"
order_9,ON-9-1033,2023-10-22,Delivered,8739.36,warehouse,warehouse_10,retailer_40,['product_14']
order_10,ON-10-3178,2024-03-04,Delivered,5535.17,warehouse,warehouse_13,retailer_44,"['product_76', 'product_95']"
order_11,ON-11-1196,2024-11-16,Delivered,7324.98,warehouse,warehouse_18,retailer_28,"['product_58', 'product_57', 'product_19']"
order_12,ON-12-5224,2025-01-13,Cancelled,5735.33,warehouse,warehouse_20,retailer_48,"['product_3', 'product_58']"
order_13,ON-13-1610,2024-02-03,Delivered,10610.59,manufacturer,manufacturer_14,retailer_46,"['product_87', 'product_1', 'product_62', 'product_85']"
order_14,ON-14-7257,2023-05-29,Pending,14095.94,warehouse,warehouse_38,retailer_28,"['product_20', 'product_58', 'product_77', 'product_48']"
order_15,ON-15-4524,2024-12-09,Pending,12457.22,manufacturer,manufacturer_15,retailer_4,"['product_77', 'product_50', 'product_3', 'product_79']"
order_16,ON-16-4991,2024-11-14,Delivered,5797.83,warehouse,warehouse_10,retailer_39,"['product_48', 'product_20']"
order_17,ON-17-2600,2024-06-24,Shipped,873.72,warehouse,warehouse_31,retailer_25,"['product_67', 'product_80']"
order_18,ON-18-5173,2024-09-06,Pending,4545.45,warehouse,warehouse_5,retailer_36,['product_12']
order_19,ON-19-4906,2023-11-20,Delivered,12138.01,manufacturer,manufacturer_16,retailer_19,"['product_16', 'product_85', 'product_49', 'product_36', 'product_56']"
order_20,ON-20-2391,2023-12-01,Cancelled,8667.93,warehouse,warehouse_20,retailer_44,"['product_11', 'product_17', 'product_79', 'product_1']"
order_21,ON-21-8640,2023-04-19,Cancelled,11313.29,warehouse,warehouse_37,retailer_38,"['product_35', 'product_12', 'product_68', 'product_45', 'product_56']"
order_22,ON-22-2729,2023-04-25,Pending,10778.85,manufacturer,manufacturer_12,retailer_44,"['product_85', 'product_79']"
order_23,ON-23-3487,2023-08-04,Cancelled,15444.78,warehouse,warehouse_14,retailer_46,"['product_26', 'product_3', 'product_37', 'product_20', 'product_99']"
