id,invoiceNumber,invoiceDate,amount,status,invoicedByID,invoicedToID
invoice_0,INV-68753,2023-09-22,16468.73,Open,subcontractor_34,company_6
invoice_1,INV-42148,2023-11-19,48519.7,Overdue,subcontractor_6,company_1
invoice_2,INV-75949,2023-02-20,18939.0,Paid,subcontractor_8,company_0
invoice_3,INV-83016,2023-12-03,40788.02,Overdue,subcontractor_18,company_11
invoice_4,INV-21389,2024-09-22,31492.57,Cancelled,subcontractor_18,company_13
invoice_5,INV-97591,2024-04-08,4948.9,Cancelled,supplier_5,company_18
invoice_6,INV-95392,2024-06-22,1417.12,Paid,supplier_3,company_1
invoice_7,INV-62249,2024-07-21,12286.0,Paid,supplier_11,company_9
invoice_8,INV-50811,2024-09-12,43111.92,Open,subcontractor_5,company_17
invoice_9,INV-16558,2023-07-04,8869.51,Open,supplier_20,company_5
invoice_10,INV-99793,2023-11-28,34564.49,Open,subcontractor_30,company_4
invoice_11,INV-77638,2023-06-18,47595.58,Paid,supplier_28,company_10
invoice_12,INV-95675,2023-08-24,36163.76,Overdue,supplier_17,company_16
invoice_13,INV-51253,2025-01-13,24628.3,Cancelled,supplier_27,company_7
invoice_14,INV-87308,2023-06-06,10878.9,Cancelled,supplier_21,company_0
invoice_15,INV-87860,2024-12-22,31630.88,Paid,supplier_19,company_17
invoice_16,INV-82402,2024-07-08,30048.37,Overdue,subcontractor_20,company_11
invoice_17,INV-81236,2024-05-15,30156.39,Paid,subcontractor_16,company_3
invoice_18,INV-30011,2024-08-07,39438.04,Cancelled,subcontractor_34,company_5
invoice_19,INV-83785,2023-11-12,27588.77,Open,supplier_21,company_12
invoice_20,INV-21942,2023-04-23,26860.55,Overdue,subcontractor_11,company_17
invoice_21,INV-26742,2024-12-12,40207.29,Paid,supplier_29,company_9
invoice_22,INV-27903,2023-11-19,19501.71,Cancelled,subcontractor_19,company_1
invoice_23,INV-45252,2024-06-20,43858.33,Open,supplier_20,company_19
invoice_24,INV-85443,2024-12-21,14393.97,Open,subcontractor_2,company_16
invoice_25,INV-81678,2025-01-03,7845.79,Paid,supplier_0,company_14
invoice_26,INV-67090,2023-03-20,21496.13,Overdue,supplier_19,company_18
invoice_27,INV-41262,2024-07-12,15099.64,Cancelled,subcontractor_2,company_2
invoice_28,INV-31361,2024-06-12,11763.65,Paid,supplier_8,company_15
invoice_29,INV-81455,2025-01-09,5637.83,Paid,subcontractor_20,company_17
invoice_30,INV-57447,2023-05-12,20349.16,Cancelled,subcontractor_6,company_8
invoice_31,INV-68543,2023-03-28,21157.82,Overdue,supplier_25,company_0
invoice_32,INV-76638,2024-07-04,38536.27,Overdue,supplier_12,company_19
invoice_33,INV-54041,2024-10-21,48971.92,Overdue,subcontractor_19,company_3
invoice_34,INV-19116,2024-10-01,29690.12,Cancelled,supplier_15,company_9
invoice_35,INV-35125,2023-10-29,6732.08,Cancelled,supplier_0,company_9
invoice_36,INV-23990,2023-12-07,48877.01,Open,supplier_8,company_17
invoice_37,INV-51592,2023-08-11,40111.79,Overdue,subcontractor_38,company_10
invoice_38,INV-83913,2023-05-11,46803.37,Overdue,supplier_23,company_18
invoice_39,INV-50721,2023-07-26,19104.71,Overdue,subcontractor_37,company_6
invoice_40,INV-47294,2023-04-26,29060.05,Cancelled,subcontractor_22,company_9
invoice_41,INV-12174,2023-07-17,35732.84,Open,supplier_26,company_15
invoice_42,INV-96169,2023-06-26,45049.83,Paid,subcontractor_33,company_7
invoice_43,INV-49733,2025-01-27,15726.53,Paid,subcontractor_0,company_2
invoice_44,INV-41686,2023-09-14,7890.9,Open,supplier_22,company_19
invoice_45,INV-44897,2025-01-13,2952.86,Open,supplier_13,company_17
invoice_46,INV-50769,2024-03-02,21377.74,Paid,supplier_13,company_10
invoice_47,INV-74796,2024-08-26,39815.48,Open,subcontractor_3,company_7
invoice_48,INV-70060,2024-12-31,20789.15,Paid,subcontractor_36,company_18
invoice_49,INV-42695,2024-09-09,44736.61,Open,subcontractor_10,company_4
invoice_50,INV-24062,2023-04-17,17302.61,Cancelled,supplier_27,company_2
invoice_51,INV-18420,2023-08-30,20949.86,Overdue,subcontractor_2,company_3
invoice_52,INV-94539,2023-06-25,2534.4,Open,subcontractor_33,company_2
invoice_53,INV-40766,2023-08-05,2851.92,Overdue,supplier_19,company_14
invoice_54,INV-71070,2024-04-22,42152.93,Cancelled,subcontractor_32,company_16
invoice_55,INV-32001,2024-09-17,24646.88,Cancelled,subcontractor_11,company_12
invoice_56,INV-37859,2024-03-09,37066.96,Paid,subcontractor_2,company_2
