id,brandName,genericName,rxNormCode,strength
med_0,Draw,against,860975,399mg
med_1,Finally,coach,860975,45mg
med_2,Feel,animal,1049630,114mg
med_3,Ball,trial,1049630,64mg
med_4,Chance,sure,860975,341mg
med_5,All,alone,860975,278mg
med_6,Source,major,860975,473mg
med_7,Hear,candidate,860975,297mg
med_8,Central,they,1049630,322mg
med_9,Feeling,during,860975,190mg
med_10,Class,so,1049630,418mg
med_11,Deal,last,1044658,363mg
med_12,Present,individual,1049630,68mg
med_13,Particular,glass,1044658,325mg
med_14,Gas,church,1044658,285mg
med_15,Never,among,1044658,146mg
med_16,Quickly,wife,1049630,340mg
med_17,Method,we,860975,61mg
med_18,Behind,position,1049630,427mg
med_19,In,term,1049630,63mg
med_20,Letter,test,1049630,127mg
med_21,Way,always,860975,14mg
med_22,Turn,drive,1049630,321mg
med_23,Might,authority,1049630,87mg
med_24,System,lead,1049630,262mg
med_25,Imagine,detail,1044658,156mg
med_26,Structure,couple,1044658,286mg
med_27,Collection,strategy,860975,19mg
med_28,Certainly,woman,1044658,272mg
med_29,Room,reveal,1049630,274mg
med_30,Claim,talk,1044658,46mg
med_31,Possible,fall,860975,119mg
med_32,Share,finish,860975,446mg
med_33,High,simple,1044658,499mg
med_34,Any,common,1044658,94mg
med_35,Evening,hour,860975,313mg
med_36,Politics,report,1049630,173mg
med_37,Whole,guy,1044658,216mg
med_38,Radio,represent,860975,104mg
med_39,Despite,recognize,860975,385mg
med_40,Shake,quite,1049630,323mg
med_41,Perhaps,without,1049630,402mg
med_42,Natural,space,860975,97mg
med_43,Other,know,1044658,398mg
med_44,Treatment,lay,1044658,120mg
med_45,Safe,get,860975,393mg
med_46,Source,chance,1044658,337mg
med_47,Three,many,1044658,496mg
med_48,Now,learn,860975,291mg
med_49,Long,religious,1044658,73mg
